sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local,id
46,1,Class,,bus,Entity_ Party_ Email,,,,,,0..*,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,BU12
47,2,Attribute,PK,bus,Entity_ Party_ Email,Email Address,,String,,,0..1,Email Address,Eメールアドレス,Eメールアドレス。,BU12-01
48,2,Attribute,,bus,Entity_ Party_ Email,Email Address Usage,,String,,,0..1,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU12-02
49,1,Class,,bus,Contact_ Email,,,,,,0..*,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,BU13
50,2,Attribute,PK,bus,Contact_ Email,Email Address,,String,,,0..1,Email Address,Eメールアドレス,Eメールアドレス。,BU13-01
51,2,Attribute,,bus,Contact_ Email,Email Address Usage,,String,,,0..1,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU13-02
52,1,Class,,bus,Accountant_ Contact_ Email,,,,,,0..*,Accountant contact E-mail address class,【会計事務所担当者Eメールアドレス】,会計事務所の担当者のEメールアドレスの構造体。,BU14
53,2,Attribute,PK,bus,Accountant_ Contact_ Email,Email Address,,String,,,0..1,Email Address,Eメールアドレス,Eメールアドレス。,BU14-01
54,2,Attribute,,bus,Accountant_ Contact_ Email,Email Address Usage,,String,,,0..1,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU14-02
55,1,Class,,bus,Entity_ Party_ Contact_ Email,,,,,,0..*,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,BU15
56,2,Attribute,PK,bus,Entity_ Party_ Contact_ Email,Email Address,,String,,,0..1,Email Address,Eメールアドレス,Eメールアドレス。,BU15-01
57,2,Attribute,,bus,Entity_ Party_ Contact_ Email,Email Address Usage,,String,,,0..1,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU15-02
58,1,Class,,cor,Identifier_ Email,,,,,,0..*,Email address for Identifier.,【CVEEメールアドレス】,CVE識別子のEメールアドレス。,CO05
59,2,Attribute,PK,cor,Identifier_ Email,Email Address,,String,,,0..1,Email Address,Eメールアドレス,Eメールアドレス。,CO05-01
60,2,Attribute,,cor,Identifier_ Email,Email Address Usage,,String,,,0..1,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),CO05-02
61,1,Class,,cor,Identifier_ Contact_ Email,,,,,,0..*,Email Address,【CVE担当者Eメールアドレス】,Eメールアドレス。,CO06
62,2,Attribute,PK,cor,Identifier_ Contact_ Email,Email Address,,String,,,0..1,Email Address,Eメールアドレス,Eメールアドレス。,CO06-01
63,2,Attribute,,cor,Identifier_ Contact_ Email,Email Address Usage,,String,,,0..1,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),CO06-02
64,1,Class,,bus,Party_ Web Site,,,,,,0..*,Primary web site of the entity.,【事業体Webサイト】,事業体の代表ウェブサイト。,BU16
65,2,Attribute,PK,bus,Party_ Web Site,Web Site URL,,anyURI,,,0..1,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,BU16-01
66,2,Attribute,,bus,Party_ Web Site,Web Site Description,,String,,,0..1,Description of the web site.,Webサイト説明,ウェブサイトの説明。,BU16-02
67,1,Class,,bus,Entity_ Party_ Web Site,,,,,,0..*,Primary web site of the entity.,【事業体Webサイト】,事業体の代表ウェブサイト。,BU17
68,2,Attribute,PK,bus,Entity_ Party_ Web Site,Web Site URL,,anyURI,,,0..1,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,BU17-01
69,2,Attribute,,bus,Entity_ Party_ Web Site,Web Site Description,,String,,,0..1,Description of the web site.,Webサイト説明,ウェブサイトの説明。,BU17-02
70,1,Class,,cor,Identifier_ Web Site,,,,,,0..*,Primary web site of the entity.,【事業体Webサイト】,事業体の代表ウェブサイト。,CO07
71,2,Attribute,PK,cor,Identifier_ Web Site,Web Site URL,,anyURI,,,0..1,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,CO07-01
72,2,Attribute,,cor,Identifier_ Web Site,Web Site Description,,String,,,0..1,Description of the web site.,Webサイト説明,ウェブサイトの説明。,CO07-02
73,1,Class,,bus,Party_Address,,,,,,0..*,Class which contains accountant address information.,【会計事務所住所】,会計事務所の住所情報を含むセクション。,BU18
74,2,Attribute,,bus,Party_Address,Name,,String,,,0..1,Address Name,住所名,住所の名前。,BU18-01
75,2,Attribute,,bus,Party_Address,Description,,String,,,0..1,Address Description,住所説明,住所の説明。,BU18-02
76,2,Attribute,,bus,Party_Address,Purpose,,String,,,0..1,Address Purpose,住所目的,住所の目的。,BU18-03
77,2,Attribute,,bus,Party_Address,Location ID,,String,,,0..1,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,BU18-04
78,2,Attribute,,bus,Party_Address,Building Number,,String,,,0..1,Building Number,住所建物番号,建物番号。,BU18-05
79,2,Attribute,,bus,Party_Address,Street,,String,,,0..1,Street address,住所通り,住所の通り。,BU18-06
80,2,Attribute,,bus,Party_Address,Address Detail,,String,,,0..1,Address Detail,住所詳細,住所詳細。,BU18-07
81,2,Attribute,,bus,Party_Address,City,,String,,,0..1,City,住所都市,住所の都市。,BU18-08
82,2,Attribute,,bus,Party_Address,State or Province,,String,,,0..1,"State, province or region",住所州,住所の州や地方。,BU18-09
83,2,Attribute,,bus,Party_Address,Country,,String,,,0..1,Country,住所国,住所の国。,BU18-10
84,2,Attribute,,bus,Party_Address,Zip or Postal Code,,String,,,0..1,Zip or other postal code,住所郵便番号,住所の郵便番号。,BU18-11
85,2,Attribute,,bus,Party_Address,Active Indicator,,Boolean,,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,BU18-12
86,1,Class,,cor,Identifier_ Address,,,,,,0..*,"Address (block) of customer, vendor, employee for integration purposes, VAT.",【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。,CO08
87,2,Attribute,,cor,Identifier_ Address,Description,,String,,,0..1,Address Description,住所説明,住所の説明。,CO08-01
88,2,Attribute,,cor,Identifier_ Address,Purpose,,String,,,0..1,Address Purpose,住所目的,住所の目的。,CO08-02
89,2,Attribute,,cor,Identifier_ Address,Location ID,,String,,,0..1,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,CO08-03
90,2,Attribute,,cor,Identifier_ Address,Building Number,,String,,,0..1,Building Number,住所建物番号,建物番号。,CO08-04
91,2,Attribute,,cor,Identifier_ Address,Street,,String,,,0..1,Street address,住所通り,住所の通り。,CO08-05
92,2,Attribute,,cor,Identifier_ Address,Address Detail,,String,,,0..1,Address Detail,住所詳細,住所詳細。,CO08-06
93,2,Attribute,,cor,Identifier_ Address,City,,String,,,0..1,City,住所都市,住所の都市。,CO08-07
94,2,Attribute,,cor,Identifier_ Address,State or Province,,String,,,0..1,"State, province or region",住所州,住所の州や地方。,CO08-08
95,2,Attribute,,cor,Identifier_ Address,Country,,String,,,0..1,Country,住所国,住所の国。,CO08-09
96,2,Attribute,,cor,Identifier_ Address,Zip or Postal Code,,String,,,0..1,Zip or other postal code,住所郵便番号,住所の郵便番号。,CO08-10
97,1,Class,,bus,Accountant_ Address,,,,,,0..*,Class which contains accountant address information.,【会計事務所住所】,会計事務所の住所情報を含むセクション。,BU19
98,2,Attribute,,bus,Accountant_ Address,Name,,String,,,0..1,Address Name,住所名,住所の名前。,BU19-01
99,2,Attribute,,bus,Accountant_ Address,Description,,String,,,0..1,Address Description,住所説明,住所の説明。,BU19-02
100,2,Attribute,,bus,Accountant_ Address,Purpose,,String,,,0..1,Address Purpose,住所目的,住所の目的。,BU19-03
101,2,Attribute,,bus,Accountant_ Address,Location ID,,String,,,0..1,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,BU19-04
102,2,Attribute,,bus,Accountant_ Address,Building Number,,String,,,0..1,Building Number,住所建物番号,建物番号。,BU19-05
103,2,Attribute,,bus,Accountant_ Address,Street,,String,,,0..1,Street address,住所通り,住所の通り。,BU19-06
104,2,Attribute,,bus,Accountant_ Address,Address Detail,,String,,,0..1,Address Detail,住所詳細,住所詳細。,BU19-07
105,2,Attribute,,bus,Accountant_ Address,City,,String,,,0..1,City,住所都市,住所の都市。,BU19-08
106,2,Attribute,,bus,Accountant_ Address,State or Province,,String,,,0..1,"State, province or region",住所州,住所の州や地方。,BU19-09
107,2,Attribute,,bus,Accountant_ Address,Country,,String,,,0..1,Country,住所国,住所の国。,BU19-10
108,2,Attribute,,bus,Accountant_ Address,Zip or Postal Code,,String,,,0..1,Zip or other postal code,住所郵便番号,住所の郵便番号。,BU19-11
109,2,Attribute,,bus,Accountant_ Address,Active Indicator,,Boolean,,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,BU19-12
110,1,Class,,bus,Organization_ Address,,,,,,0..*,Address class for the reporting entity,【住所】,報告事業体の住所構造体。,BU20
111,2,Attribute,,bus,Organization_ Address,Name,,String,,,0..1,Address Name,住所名,住所の名前。,BU20-01
112,2,Attribute,,bus,Organization_ Address,Description,,String,,,0..1,Address Description,住所説明,住所の説明。,BU20-02
113,2,Attribute,,bus,Organization_ Address,Purpose,,String,,,0..1,Address Purpose,住所目的,住所の目的。,BU20-03
114,2,Attribute,,bus,Organization_ Address,Location ID,,String,,,0..1,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,BU20-04
115,2,Attribute,,bus,Organization_ Address,Building Number,,String,,,0..1,Building Number,住所建物番号,建物番号。,BU20-05
116,2,Attribute,,bus,Organization_ Address,Street,,String,,,0..1,Street address,住所通り,住所の通り。,BU20-06
117,2,Attribute,,bus,Organization_ Address,Address Detail,,String,,,0..1,Address Detail,住所詳細,住所詳細。,BU20-07
118,2,Attribute,,bus,Organization_ Address,City,,String,,,0..1,City,住所都市,住所の都市。,BU20-08
119,2,Attribute,,bus,Organization_ Address,State or Province,,String,,,0..1,"State, province or region",住所州,住所の州や地方。,BU20-09
120,2,Attribute,,bus,Organization_ Address,Country,,String,,,0..1,Country,住所国,住所の国。,BU20-10
121,2,Attribute,,bus,Organization_ Address,Zip or Postal Code,,String,,,0..1,Zip or other postal code,住所郵便番号,住所の郵便番号。,BU20-11
122,2,Attribute,,bus,Organization_ Address,Active Indicator,,Boolean,,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,BU20-12
123,1,Class,,bus,Party_ Address,,,,,,0..*,Address class for the party,【住所】,報告事業体の住所構造体。,BU21
124,2,Attribute,,bus,Party_ Address,Name,,String,,,0..1,Address Name,住所名,住所の名前。,BU21-01
125,2,Attribute,,bus,Party_ Address,Description,,String,,,0..1,Address Description,住所説明,住所の説明。,BU21-02
126,2,Attribute,,bus,Party_ Address,Purpose,,String,,,0..1,Address Purpose,住所目的,住所の目的。,BU21-03
127,2,Attribute,,bus,Party_ Address,Location ID,,String,,,0..1,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,BU21-04
128,2,Attribute,,bus,Party_ Address,Building Number,,String,,,0..1,Building Number,住所建物番号,建物番号。,BU21-05
129,2,Attribute,,bus,Party_ Address,Street,,String,,,0..1,Street address,住所通り,住所の通り。,BU21-06
130,2,Attribute,,bus,Party_ Address,Address Detail,,String,,,0..1,Address Detail,住所詳細,住所詳細。,BU21-07
131,2,Attribute,,bus,Party_ Address,City,,String,,,0..1,City,住所都市,住所の都市。,BU21-08
132,2,Attribute,,bus,Party_ Address,State or Province,,String,,,0..1,"State, province or region",住所州,住所の州や地方。,BU21-09
133,2,Attribute,,bus,Party_ Address,Country,,String,,,0..1,Country,住所国,住所の国。,BU21-10
134,2,Attribute,,bus,Party_ Address,Zip or Postal Code,,String,,,0..1,Zip or other postal code,住所郵便番号,住所の郵便番号。,BU21-11
135,2,Attribute,,bus,Party_ Address,Active Indicator,,Boolean,,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,BU21-12
136,1,Class,,cor,Entity_ Party_ Address,,,,,,0..*,Address class for the party,【住所】,報告事業体の住所構造体。,CO09
137,2,Attribute,,cor,Entity_ Party_ Address,Name,,String,,,0..1,Address Name,住所名,住所の名前。,CO09-01
138,2,Attribute,,cor,Entity_ Party_ Address,Description,,String,,,0..1,Address Description,住所説明,住所の説明。,CO09-02
139,2,Attribute,,cor,Entity_ Party_ Address,Purpose,,String,,,0..1,Address Purpose,住所目的,住所の目的。,CO09-03
140,2,Attribute,,cor,Entity_ Party_ Address,Location ID,,String,,,0..1,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,CO09-04
141,2,Attribute,,cor,Entity_ Party_ Address,Building Number,,String,,,0..1,Building Number,住所建物番号,建物番号。,CO09-05
142,2,Attribute,,cor,Entity_ Party_ Address,Street,,String,,,0..1,Street address,住所通り,住所の通り。,CO09-06
143,2,Attribute,,cor,Entity_ Party_ Address,Address Detail,,String,,,0..1,Address Detail,住所詳細,住所詳細。,CO09-07
144,2,Attribute,,cor,Entity_ Party_ Address,City,,String,,,0..1,City,住所都市,住所の都市。,CO09-08
145,2,Attribute,,cor,Entity_ Party_ Address,State or Province,,String,,,0..1,"State, province or region",住所州,住所の州や地方。,CO09-09
146,2,Attribute,,cor,Entity_ Party_ Address,Country,,String,,,0..1,Country,住所国,住所の国。,CO09-10
147,2,Attribute,,cor,Entity_ Party_ Address,Zip or Postal Code,,String,,,0..1,Zip or other postal code,住所郵便番号,住所の郵便番号。,CO09-11
148,2,Attribute,,cor,Entity_ Party_ Address,Active Indicator,,Boolean,,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,CO09-12
149,1,Class,,cor,Document Information,,,,,,1..1,Parent for descriptive information about the accountingEntries Class in which it is contained.,【文書情報】,この会計仕訳に関する情報の親タグ。,CO10
150,2,Attribute,,cor,Document Information,Document Type,,Token,,,1..1,"account: information to fill in a chart of accounts file.  
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger  
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated   
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] classs to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] class, these ""master file"" tax tables can be referenced. 
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.   
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.   
master_file: a collection of master files, such as the customer or inventory master file.   
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.   
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.   
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",文書種別,・科目:科目体系ファイルの情報。_x000D_ ・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。_x000D_ ・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。_x000D_ ・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。_x000D_ ・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。_x000D_ ・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。_x000D_ ・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。_x000D_ ・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。_x000D_ ・マッピング情報:互いに関係があるデータセットの間の対応関係を集めたもの。例えば、企業グループ内の各会社で使用する勘定科目と全社勘定科目との対応付け、または明細データと最終的な報告書上の要約された科目への対応付け。 ・差分情報:同じクラス（種類）で異なるバージョンを持つ項目の変更・差分情報。例えば、勘定科目一覧のようなマスタファイルの特定科目の更新情報など。  ・マスターファイル:マスタファイルの一覧。例えば、顧客マスタ又は在庫/棚卸マスタなど。  ・取引伝票:取引に用いる情報の集合。例えば、納入業者からのインボイス 又は顧客からの受注情報など。  ・プロファイル情報:確立された文書説明情報及び特にXBRL GLプロファイルを理解し決定するこの情報の集合の意味を示す。説明情報は、名前空間宣言、スキーマ参照及びこれらの規約を通して決定する。  ・その他：その他のすべての表現形式  多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。_x000D_ [設定値のリスト]_x000D_ (account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)_x000D_、(Mapping：マッピング情報)、(versioning：差分情報)、(master_file：マスターファイル)、(trade_documents：取引伝票)、(profile_compliant：プロファイル情報)、(other：その他),CO10-01
