sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local,id
1,1,Class,,bus,Party_ Phone,,,,,,0..*,Primary phone number of the entity.,【事業体電話番号】,事業体の主要電話番号情報。,BU01
2,2,Attribute,PK,bus,Party_ Phone,Phone Number,,String,,,0..1,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU01-01
3,2,Attribute,,bus,Party_ Phone,Phone Number Description,,String,,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU01-02
4,1,Class,,bus,Entity_ Party_ Phone,,,,,,0..*,Primary phone number of the entity.,【事業体電話番号】,事業体の主要電話番号情報。,BU02
5,2,Attribute,PK,bus,Entity_ Party_ Phone,Phone Number,,String,,,0..1,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU02-01
6,2,Attribute,,bus,Entity_ Party_ Phone,Phone Number Description,,String,,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU02-02
7,1,Class,,bus,Contact_ Phone,,,,,,0..*,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,BU03
8,2,Attribute,PK,bus,Contact_ Phone,Phone Number,,String,,,0..1,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU03-01
9,2,Attribute,,bus,Contact_ Phone,Phone Number Description,,String,,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU03-02
10,1,Class,,bus,Accountant_ Contact_ Phone,,,,,,0..*,Phone Number for Accountant Contact,【会計事務所担当者電話番号】,会計事務所の担当者の電話番号,BU04
11,2,Attribute,PK,bus,Accountant_ Contact_ Phone,Phone Number,,String,,,0..1,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU04-01
12,2,Attribute,,bus,Accountant_ Contact_ Phone,Phone Number Description,,String,,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU04-02
13,1,Class,,bus,Entity_ Party_ Contact_ Phone,,,,,,0..*,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,BU05
14,2,Attribute,PK,bus,Entity_ Party_ Contact_ Phone,Phone Number,,String,,,0..1,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU05-01
15,2,Attribute,,bus,Entity_ Party_ Contact_ Phone,Phone Number Description,,String,,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU05-02
16,1,Class,,cor,Identifier_ Phone,,,,,,0..*,Phone number related to Identifier.,【CVE電話番号】,CVE識別子の電話番号。,CO01
17,2,Attribute,PK,cor,Identifier_ Phone,Phone Number,,String,,,0..1,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,CO01-01
18,2,Attribute,,cor,Identifier_ Phone,Phone Number Description,,String,,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",CO01-02
19,1,Class,,cor,Identifier_ Contact_ Phone,,,,,,0..*,Phone Number,【CVE担当者電話番号】,電話番号,CO02
20,2,Attribute,PK,cor,Identifier_ Contact_ Phone,Phone Number,,String,,,0..1,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,CO02-01
21,2,Attribute,,cor,Identifier_ Contact_ Phone,Phone Number Description,,String,,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",CO02-02
22,1,Class,,bus,Party_ Fax,,,,,,0..*,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。,BU06
23,2,Attribute,PK,bus,Party_ Fax,Fax Number,,String,,,0..1,Fax Number,FAX番号,FAX番号。,BU06-01
24,2,Attribute,,bus,Party_ Fax,Fax Number Usage,,String,,,0..1,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU06-02
25,1,Class,,bus,Entity_ Party_ Fax,,,,,,0..*,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。,BU07
26,2,Attribute,PK,bus,Entity_ Party_ Fax,Fax Number,,String,,,0..1,Fax Number,FAX番号,FAX番号。,BU07-01
27,2,Attribute,,bus,Entity_ Party_ Fax,Fax Number Usage,,String,,,0..1,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU07-02
28,1,Class,,bus,Contact_ Fax,,,,,,0..*,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,BU08
29,2,Attribute,PK,bus,Contact_ Fax,Fax Number,,String,,,0..1,Fax Number,FAX番号,FAX番号。,BU08-01
30,2,Attribute,,bus,Contact_ Fax,Fax Number Usage,,String,,,0..1,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU08-02
31,1,Class,,bus,Accountant_ Contact_ Fax,,,,,,0..*,Accountant Contact Fax Number Class,【会計事務所担当者FAX番号】,会計事務所の担当者のFAX番号の構造体。,BU09
32,2,Attribute,PK,bus,Accountant_ Contact_ Fax,Fax Number,,String,,,0..1,Fax Number,FAX番号,FAX番号。,BU09-01
33,2,Attribute,,bus,Accountant_ Contact_ Fax,Fax Number Usage,,String,,,0..1,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU09-02
34,1,Class,,bus,Entity_ Party_ Contact_ Fax,,,,,,0..*,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,BU10
35,2,Attribute,PK,bus,Entity_ Party_ Contact_ Fax,Fax Number,,String,,,0..1,Fax Number,FAX番号,FAX番号。,BU10-01
36,2,Attribute,,bus,Entity_ Party_ Contact_ Fax,Fax Number Usage,,String,,,0..1,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU10-02
37,1,Class,,cor,Identifier_ Fax,,,,,,0..*,Fax number class related to identifier.,【CVEFAX番号】,CVE識別子のFAX番号の構造体。,CO03
38,2,Attribute,PK,cor,Identifier_ Fax,Fax Number,,String,,,0..1,Fax Number,FAX番号,FAX番号。,CO03-01
39,2,Attribute,,cor,Identifier_ Fax,Fax Number Usage,,String,,,0..1,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),CO03-02
40,1,Class,,cor,Identifier_ Contact_ Fax,,,,,,0..*,Fax Number,【CVE担当者FAX番号】,FAX番号。,CO04
41,2,Attribute,PK,cor,Identifier_ Contact_ Fax,Fax Number,,String,,,0..1,Fax Number,FAX番号,FAX番号。,CO04-01
42,2,Attribute,,cor,Identifier_ Contact_ Fax,Fax Number Usage,,String,,,0..1,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),CO04-02
43,1,Class,,bus,Party_ Email,,,,,,0..*,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,BU11
44,2,Attribute,PK,bus,Party_ Email,Email Address,,String,,,0..1,Email Address,Eメールアドレス,Eメールアドレス。,BU11-01
45,2,Attribute,,bus,Party_ Email,Email Address Usage,,String,,,0..1,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU11-02
