sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
123,bus,4,A,PK,Reporting Calendar Code,String,0..1,,"The code used to identify this specific reporting calendar, unique across periods",報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,BU29-01,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarCode,bus,Reporting Calendar,reportingCalendarCode,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarCode
124,bus,4,A,,Reporting Calendar Description,String,0..1,,A description of the reporting calendar (associated with the reportingCalendarCode given),報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,BU29-02,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarDescription,bus,Reporting Calendar,reportingCalendarDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarDescription
125,bus,4,A,,Reporting Calendar Title,String,0..1,,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' class,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,BU29-03,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarTitle,bus,Reporting Calendar,reportingCalendarTitle,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarTitle
126,bus,4,A,,Reporting Calendar Period Type,Token,0..1,,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他_x000D_
[設定値のリスト]_x000D_
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)",BU29-04,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriodType,bus,Reporting Calendar,reportingCalendarPeriodType,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarPeriodType
127,bus,4,A,,Reporting Calendar Period Type Description,String,0..1,,A description of the type of period involved.,期間種別説明,報告期間の種別の説明。,BU29-05,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriodTypeDescription,bus,Reporting Calendar,reportingCalendarPeriodTypeDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarPeriodTypeDescription
128,bus,4,A,,Reporting Calendar Closed Status,Token,0..1,,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中_x000D_
[設定値のリスト]_x000D_
(open：オープン)、(closed：締切り済み)、(pending：保留中)",BU29-06,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarClosedStatus,bus,Reporting Calendar,reportingCalendarClosedStatus,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarClosedStatus
129,bus,4,A,,Reporting Calendar Purpose,Token,0..1,,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",BU29-07,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPurpose,bus,Reporting Calendar,reportingCalendarPurpose,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarPurpose
130,bus,4,A,,Reporting Calendar Purpose Description,String,0..1,,Free format description of the reporting purpose,報告目的説明,報告目的の説明。,BU29-08,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPurposeDescription,bus,Reporting Calendar,reportingCalendarPurposeDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarPurposeDescription
131,bus,4,C,,Reporting Calendar_ Period,,0..*,,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,BU29-09,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod,bus,Reporting Calendar_ Period,reportingCalendarPeriod,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarPeriod
132,bus,5,A,PK,Period ID,String,0..1,,An identifier for this period in this calendar,報告期間識別子,このカレンダーにおけるこの期間の識別子。,BU28-01,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod.bus_PeriodID,bus,Reporting Calendar_ Period,periodId,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:specifiedReportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:periodId
