sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
1,cor,1,C,,Accounting Entries,,1..*,,Root for XBRL GL. No entry made here.,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。,CO23,$.cor_AccountingEntries,cor,Accounting Entries,accountingEntries,/xbrli:xbrl/gl-cor:accountingEntries
2,cor,2,C,,Document Information,,1..1,,Parent for descriptive information about the accountingEntries Class in which it is contained.,【文書情報】,この会計仕訳に関する情報の親タグ。,CO23-01,$.cor_AccountingEntries.cor_DocumentInformation,cor,Document Information,documentInformation,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation
3,cor,3,A,,Document Type,Token,1..1,,"account: information to fill in a chart of accounts file.  
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger  
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated   
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] classs to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] class, these ""master file"" tax tables can be referenced. 
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.   
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.   
master_file: a collection of master files, such as the customer or inventory master file.   
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.   
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.   
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",文書種別,・科目:科目体系ファイルの情報。_x000D_ ・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。_x000D_ ・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。_x000D_ ・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。_x000D_ ・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。_x000D_ ・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。_x000D_ ・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。_x000D_ ・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。_x000D_ ・マッピング情報:互いに関係があるデータセットの間の対応関係を集めたもの。例えば、企業グループ内の各会社で使用する勘定科目と全社勘定科目との対応付け、または明細データと最終的な報告書上の要約された科目への対応付け。 ・差分情報:同じクラス（種類）で異なるバージョンを持つ項目の変更・差分情報。例えば、勘定科目一覧のようなマスタファイルの特定科目の更新情報など。  ・マスターファイル:マスタファイルの一覧。例えば、顧客マスタ又は在庫/棚卸マスタなど。  ・取引伝票:取引に用いる情報の集合。例えば、納入業者からのインボイス 又は顧客からの受注情報など。  ・プロファイル情報:確立された文書説明情報及び特にXBRL GLプロファイルを理解し決定するこの情報の集合の意味を示す。説明情報は、名前空間宣言、スキーマ参照及びこれらの規約を通して決定する。  ・その他：その他のすべての表現形式  多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。_x000D_ [設定値のリスト]_x000D_ (account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)_x000D_、(Mapping：マッピング情報)、(versioning：差分情報)、(master_file：マスターファイル)、(trade_documents：取引伝票)、(profile_compliant：プロファイル情報)、(other：その他),CO10-01,$.cor_AccountingEntries.cor_DocumentInformation.cor_DocumentType,cor,Document Information,documentType,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentType
4,cor,3,A,PK,Audit Number,String,0..1,,Unique identifier for this file.,監査番号,このファイルの一意識別子。,CO10-02,$.cor_AccountingEntries.cor_DocumentInformation.cor_AuditNumber,cor,Document Information,auditNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:auditNumber
5,cor,3,A,,Revises Audit Number,String,0..1,,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。,CO10-03,$.cor_AccountingEntries.cor_DocumentInformation.cor_RevisesAuditNumber,cor,Document Information,revisesAuditNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:revisesAuditNumber
6,cor,3,A,,Action to Take with Previous Data,Token,0..1,,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。_x000D_
補完-元々含まれていたかのように、そのデータに所属させる。_x000D_
[設定値のリスト]_x000D_
(supplement：補完)、(supersede：取替え)",CO10-04,$.cor_AccountingEntries.cor_DocumentInformation.cor_ActiontoTakewithPreviousData,cor,Document Information,actionToTakeWithPreviousData,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:actionToTakeWithPreviousData
7,cor,3,A,,Language,QName,0..1,,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。,CO10-05,$.cor_AccountingEntries.cor_DocumentInformation.cor_Language,cor,Document Information,language,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:language
8,cor,3,A,,Creation Date,Date Time,0..1,,Date/time file was created.,作成日付,ファイルが作成された日付/時間。,CO10-06,$.cor_AccountingEntries.cor_DocumentInformation.cor_CreationDate,cor,Document Information,creationDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:creationDate
9,cor,3,A,,Creator,String,0..1,,Identifies the creator of the XBRL instance.,作成者,ファイルの作成者の識別子。,CO10-07,$.cor_AccountingEntries.cor_DocumentInformation.cor_Creator,cor,Document Information,creator,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:creator
10,cor,3,A,,Document Comment,String,0..1,,Text for entire document.,文書コメント,文書全体に対する説明文。,CO10-08,$.cor_AccountingEntries.cor_DocumentInformation.cor_DocumentComment,cor,Document Information,documentComment,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentComment
11,cor,3,A,,Period Covered Start,Date Time,0..1,,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,CO10-09,$.cor_AccountingEntries.cor_DocumentInformation.cor_PeriodCoveredStart,cor,Document Information,periodCoveredStart,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:periodCoveredStart
12,cor,3,A,,Period Covered End,Date Time,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,CO10-10,$.cor_AccountingEntries.cor_DocumentInformation.cor_PeriodCoveredEnd,cor,Document Information,periodCoveredEnd,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:periodCoveredEnd
13,cor,3,A,,Period Count,Decimal,0..1,,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,CO10-11,$.cor_AccountingEntries.cor_DocumentInformation.cor_PeriodCount,cor,Document Information,periodCount,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:periodCount
14,cor,3,A,,Period Unit,Token,0..1,,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",期間単位,"periodCountで対象とする期間の種別。_x000D_
[設定値のリスト]_x000D_
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)",CO10-12,$.cor_AccountingEntries.cor_DocumentInformation.cor_PeriodUnit,cor,Document Information,periodUnit,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:periodUnit
15,cor,3,A,,Period Unit Description,String,0..1,,Free format description of the period unit,期間単位説明,対象期間単位の説明。,CO10-13,$.cor_AccountingEntries.cor_DocumentInformation.cor_PeriodUnitDescription,cor,Document Information,periodUnitDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:periodUnitDescription
16,cor,3,A,,Source Application,String,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,CO10-14,$.cor_AccountingEntries.cor_DocumentInformation.cor_SourceApplication,cor,Document Information,sourceApplication,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:sourceApplication
17,cor,3,A,,Target Application,String,0..1,,Particular use for which file was generated.,対象アプリケーション,ファイルが作成された用途。,CO10-15,$.cor_AccountingEntries.cor_DocumentInformation.cor_TargetApplication,cor,Document Information,targetApplication,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:targetApplication
18,cor,3,A,,Default Currency,QName,0..1,,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,CO10-16,$.cor_AccountingEntries.cor_DocumentInformation.cor_DefaultCurrency,cor,Document Information,defaultCurrency,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:defaultCurrency
19,lnk,3,C,,Summary Reporting Taxonomies,,0..*,,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,CO10-17,$.cor_AccountingEntries.cor_DocumentInformation.cor_SummaryReportingTaxonomies,lnk,Summary Reporting Taxonomies,summaryReportingTaxonomies,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-lnk:summaryReportingTaxonomies
20,lnk,4,A,,Summary Reporting Taxonomy ID,String,0..1,,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。,LN02-01,$.cor_AccountingEntries.cor_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomyID,lnk,Summary Reporting Taxonomies,summaryReportingTaxonomyId,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-lnk:summaryReportingTaxonomies/gl-lnk:summaryReportingTaxonomyId
21,lnk,4,A,,Summary Reporting Taxonomy Schema Reference Href Attribute,String,0..1,,Value of the href attribute of schemaRef in the target reporting taxonomy.,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。,LN02-02,$.cor_AccountingEntries.cor_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomySchemaReferenceHrefAttribute,lnk,Summary Reporting Taxonomies,summaryReportingTaxonomySchemaReferenceHrefAttribute,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-lnk:summaryReportingTaxonomies/gl-lnk:summaryReportingTaxonomySchemaReferenceHrefAttribute
22,lnk,4,A,,Summary Reporting Taxonomy Header,String,0..1,,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。,LN02-03,$.cor_AccountingEntries.cor_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomyHeader,lnk,Summary Reporting Taxonomies,summaryReportingTaxonomyHeader,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-lnk:summaryReportingTaxonomies/gl-lnk:summaryReportingTaxonomyHeader
23,lnk,4,A,,Summary Reporting Taxonomy Description,String,0..1,,A description of the taxonomy for human use.,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。,LN02-04,$.cor_AccountingEntries.cor_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomyDescription,lnk,Summary Reporting Taxonomies,summaryReportingTaxonomyDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInformation/gl-lnk:summaryReportingTaxonomies/gl-lnk:summaryReportingTaxonomyDescription
24,cor,2,C,,Entity_ Party,,0..1,,Holder for entity information - information about the reporting organization.,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,CO23-02,$.cor_AccountingEntries.cor_EntityParty,cor,Entity_ Party,entityParty,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty
25,cor,3,A,,Party Name,String,0..1,,Name of the party,,,CO14-01,$.cor_AccountingEntries.cor_EntityParty.cor_PartyName,cor,Entity_ Party,partyName,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-cor:partyName
26,cor,3,A,,Party ID,String,0..1,,ID Number of the party,,,CO14-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyID,cor,Entity_ Party,partyId,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-cor:partyId
27,cor,3,A,,Party Business Description,String,0..1,,Description of the nature of the business of the party.,業種説明,事業体の事業の種類についての説明。,CO14-03,$.cor_AccountingEntries.cor_EntityParty.cor_PartyBusinessDescription,cor,Entity_ Party,partyBusinessDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-cor:partyBusinessDescription
28,bus,3,C,,Party_ Phone,,0..*,,Primary phone number of the party.,【事業体電話番号】,事業体の主要電話番号情報。,CO14-04,$.cor_AccountingEntries.cor_EntityParty.cor_PartyPhone,bus,Party_ Phone,partyPhone,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyPhone
29,bus,4,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU01-01,$.cor_AccountingEntries.cor_EntityParty.cor_PartyPhone.bus_PhoneNumber,bus,Party_ Phone,phoneNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyPhone/gl-bus:phoneNumber
30,bus,4,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU01-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyPhone.bus_PhoneNumberDescription,bus,Party_ Phone,phoneNumberDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyPhone/gl-bus:phoneNumberDescription
31,bus,3,C,,Party_ Fax,,0..*,,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。,CO14-05,$.cor_AccountingEntries.cor_EntityParty.cor_PartyFax,bus,Party_ Fax,partyFax,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyFax
32,bus,4,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,BU06-01,$.cor_AccountingEntries.cor_EntityParty.cor_PartyFax.bus_FaxNumber,bus,Party_ Fax,faxNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyFax/gl-bus:faxNumber
33,bus,4,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU06-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyFax.bus_FaxNumberUsage,bus,Party_ Fax,faxNumberUsage,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyFax/gl-bus:faxNumberUsage
34,bus,3,C,,Party_ Email,,0..*,,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,CO14-06,$.cor_AccountingEntries.cor_EntityParty.cor_PartyEmail,bus,Party_ Email,partyEmail,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyEmail
35,bus,4,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,BU11-01,$.cor_AccountingEntries.cor_EntityParty.cor_PartyEmail.bus_EmailAddress,bus,Party_ Email,emailAddress,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyEmail/gl-bus:emailAddress
36,bus,4,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU11-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyEmail.bus_EmailAddressUsage,bus,Party_ Email,emailAddressUsage,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyEmail/gl-bus:emailAddressUsage
37,bus,3,C,,Registered_ Organization Identifier,,0..*,Registered,Class which contains various identifiers for theparty.,【識別子】,組織に関する様々な識別子を含むセクション。,CO14-07,$.cor_AccountingEntries.cor_EntityParty.cor_RegisteredOrganizationIdentifier,bus,Organization Identifier,registeredOrganizationIdentifier,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:registeredOrganizationIdentifier
38,bus,4,A,PK,Organization Identifier Code,String,0..1,,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,BU30-01,$.cor_AccountingEntries.cor_EntityParty.cor_RegisteredOrganizationIdentifier.bus_OrganizationIdentifierCode,bus,Organization Identifier,organizationIdentifierCode,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:registeredOrganizationIdentifier/gl-bus:organizationIdentifierCode
39,bus,4,A,,Organization Identifier Description,String,0..1,,Text describing the organization identified by the organization identifier. Includes any relevant information about the code itself (e.g. issuing authority).,事業体説明,事業体識別子によって特定された組織の説明文。 コードに関するなんらかの記述情報。,BU30-02,$.cor_AccountingEntries.cor_EntityParty.cor_RegisteredOrganizationIdentifier.bus_OrganizationIdentifierDescription,bus,Organization Identifier,organizationIdentifierDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:registeredOrganizationIdentifier/gl-bus:organizationIdentifierDescription
40,bus,3,C,,Party_ Address,,0..*,,Address class for the party,【住所】,報告事業体の住所構造体。,CO14-08,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress,bus,Party_ Address,partyAddress,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress
41,bus,4,A,,Name,String,0..1,,Address Name,住所名,住所の名前。,BU21-01,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_Name,bus,Party_ Address,name,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:name
42,bus,4,A,,Description,String,0..1,,Address Description,住所説明,住所の説明。,BU21-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_Description,bus,Party_ Address,description,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:description
43,bus,4,A,,Purpose,String,0..1,,Address Purpose,住所目的,住所の目的。,BU21-03,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_Purpose,bus,Party_ Address,purpose,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:purpose
44,bus,4,A,,Location ID,String,0..1,,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,BU21-04,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_LocationID,bus,Party_ Address,locationId,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:locationId
45,bus,4,A,,Building Number,String,0..1,,Building Number,住所建物番号,建物番号。,BU21-05,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_BuildingNumber,bus,Party_ Address,buildingNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:buildingNumber
46,bus,4,A,,Street,String,0..1,,Street address,住所通り,住所の通り。,BU21-06,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_Street,bus,Party_ Address,street,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:street
47,bus,4,A,,Address Detail,String,0..1,,Address Detail,住所詳細,住所詳細。,BU21-07,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_AddressDetail,bus,Party_ Address,addressDetail,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:addressDetail
48,bus,4,A,,City,String,0..1,,City,住所都市,住所の都市。,BU21-08,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_City,bus,Party_ Address,city,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:city
49,bus,4,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,BU21-09,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_StateorProvince,bus,Party_ Address,stateOrProvince,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:stateOrProvince
50,bus,4,A,,Country,String,0..1,,Country,住所国,住所の国。,BU21-10,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_Country,bus,Party_ Address,country,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:country
51,bus,4,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,BU21-11,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_ZiporPostalCode,bus,Party_ Address,zipOrPostalCode,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:zipOrPostalCode
52,bus,4,A,,Active Indicator,Boolean,0..1,,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,BU21-12,$.cor_AccountingEntries.cor_EntityParty.cor_PartyAddress.bus_ActiveIndicator,bus,Party_ Address,activeIndicator,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyAddress/gl-bus:activeIndicator
53,bus,3,C,,Party_ Web Site,,0..*,,Primary web site of the party.,【事業体Webサイト】,事業体の代表ウェブサイト。,CO14-09,$.cor_AccountingEntries.cor_EntityParty.cor_PartyWebSite,bus,Party_ Web Site,partyWebSite,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyWebSite
54,bus,4,A,PK,Web Site URL,anyURI,0..1,,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,BU16-01,$.cor_AccountingEntries.cor_EntityParty.cor_PartyWebSite.bus_WebSiteURL,bus,Party_ Web Site,webSiteUrl,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyWebSite/gl-bus:webSiteUrl
55,bus,4,A,,Web Site Description,String,0..1,,Description of the web site.,Webサイト説明,ウェブサイトの説明。,BU16-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyWebSite.bus_WebSiteDescription,bus,Party_ Web Site,webSiteDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyWebSite/gl-bus:webSiteDescription
56,bus,3,C,,Party_ Contact,,0..*,,Information about contacts.,【担当者情報】,担当者に関する情報。,CO14-10,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact,bus,Party_ Contact,partyContact,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact
57,bus,4,A,,Contact Prefix,String,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),BU22-01,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactPrefix,bus,Party_ Contact,contactPrefix,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactPrefix
58,bus,4,A,,Contact Last Name,String,0..1,,Last or family name,姓,姓,BU22-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactLastName,bus,Party_ Contact,contactLastName,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactLastName
59,bus,4,A,,Contact First Name,String,0..1,,First or given name,名,名、クリスチャンネーム,BU22-03,$.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactFirstName,bus,Party_ Contact,contactFirstName,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityParty/gl-bus:partyContact/gl-bus:contactFirstName
